"sp"	"x"	"y"	"Partition"
"calonectria_pseudonaviculata"	42.07	42.62	5
"calonectria_pseudonaviculata"	28.98	41.01	4
"calonectria_pseudonaviculata"	42.35	42.6	5
"calonectria_pseudonaviculata"	40.95	40.91	1
"calonectria_pseudonaviculata"	42.38	42.42	5
"calonectria_pseudonaviculata"	38.71	40.95	2
"calonectria_pseudonaviculata"	42.16	42.69	2
"calonectria_pseudonaviculata"	39.71	40.81	3
"calonectria_pseudonaviculata"	43.04	42.34	2
"calonectria_pseudonaviculata"	37.88	40.99	2
"calonectria_pseudonaviculata"	30.62	40.68	1
"calonectria_pseudonaviculata"	41.7	41.4	1
"calonectria_pseudonaviculata"	41.82	42.4	3
"calonectria_pseudonaviculata"	41.53	41.39	4
"calonectria_pseudonaviculata"	42.95	42.38	3
"calonectria_pseudonaviculata"	42.04	41.75	4
"calonectria_pseudonaviculata"	13.06	47.81	5
"calonectria_pseudonaviculata"	6.58	46.6	5
"calonectria_pseudonaviculata"	16.14	50.34	5
"calonectria_pseudonaviculata"	-7.57	43.05	4
"calonectria_pseudonaviculata"	9.39	53.71	1
"calonectria_pseudonaviculata"	-2.18	51.62	1
"calonectria_pseudonaviculata"	0.04	44.58	4
"calonectria_pseudonaviculata"	7.22	53.38	1
"calonectria_pseudonaviculata"	2.16	48.66	2
"calonectria_pseudonaviculata"	13.66	55.85	2
"calonectria_pseudonaviculata"	15.55	50.55	2
"calonectria_pseudonaviculata"	15.02	56.28	2
"calonectria_pseudonaviculata"	-0.33	51.23	4
"calonectria_pseudonaviculata"	-0.64	51.58	5
"calonectria_pseudonaviculata"	-2.91	54.63	4
"calonectria_pseudonaviculata"	13.95	45.62	5
"calonectria_pseudonaviculata"	16.43	49.26	5
"calonectria_pseudonaviculata"	0.78	51.21	4
"calonectria_pseudonaviculata"	-1.31	51.06	3
"calonectria_pseudonaviculata"	12.57	55.68	3
"calonectria_pseudonaviculata"	-8.58	51.95	1
"calonectria_pseudonaviculata"	9.12	45.72	4
"calonectria_pseudonaviculata"	14.05	50.41	3
"calonectria_pseudonaviculata"	0.15	45.75	1
"calonectria_pseudonaviculata"	14.32	45.36	1
"calonectria_pseudonaviculata"	7.49	53.24	4
"calonectria_pseudonaviculata"	-1.6	53.12	2
"calonectria_pseudonaviculata"	8.21	53.25	3
"calonectria_pseudonaviculata"	7.67	47.56	3
"calonectria_pseudonaviculata"	15.85	57.31	4
"calonectria_pseudonaviculata"	10.06	52.57	4
"calonectria_pseudonaviculata"	-4.05	54.84	2
"calonectria_pseudonaviculata"	5.04	47.32	3
"calonectria_pseudonaviculata"	-2.7	51.96	1
"calonectria_pseudonaviculata"	6.02	47.24	1
"calonectria_pseudonaviculata"	9.46	51.31	2
"calonectria_pseudonaviculata"	11.98	54.08	3
"calonectria_pseudonaviculata"	2.38	48.84	5
"calonectria_pseudonaviculata"	0.51	47.34	4
"calonectria_pseudonaviculata"	16.21	59.76	5
"calonectria_pseudonaviculata"	10.85	59.93	5
"calonectria_pseudonaviculata"	12.02	54.04	3
"calonectria_pseudonaviculata"	5.95	52.24	5
"calonectria_pseudonaviculata"	13.37	52.52	1
"calonectria_pseudonaviculata"	8.23	53.01	3
"calonectria_pseudonaviculata"	-1.09	53.54	2
"calonectria_pseudonaviculata"	16.27	47.15	2
"calonectria_pseudonaviculata"	-2.1	51.5	1
