longitude	latitude	species
42.07	42.62	calonectria_pseudonaviculata
38.71	40.95	calonectria_pseudonaviculata
39.71	40.81	calonectria_pseudonaviculata
42.35	42.6	calonectria_pseudonaviculata
42.75	42.11	calonectria_pseudonaviculata
48.87	38.42	calonectria_pseudonaviculata
28.98	41.01	calonectria_pseudonaviculata
41.85	42.15	calonectria_pseudonaviculata
39.68	40.88	calonectria_pseudonaviculata
42.16	42.69	calonectria_pseudonaviculata
41.53	41.39	calonectria_pseudonaviculata
41	41.05	calonectria_pseudonaviculata
41.37	41.27	calonectria_pseudonaviculata
41.88	41.66	calonectria_pseudonaviculata
41.82	42.4	calonectria_pseudonaviculata
50.28	37.14	calonectria_pseudonaviculata
42.04	42.09	calonectria_pseudonaviculata
32.39	41.75	calonectria_pseudonaviculata
40.75	43.11	calonectria_pseudonaviculata
42.05	41.94	calonectria_pseudonaviculata
43.03	42.33	calonectria_pseudonaviculata
30.62	40.68	calonectria_pseudonaviculata
55.2	37.13	calonectria_pseudonaviculata
48.96	37.72	calonectria_pseudonaviculata
40.95	40.91	calonectria_pseudonaviculata
51.81	36.57	calonectria_pseudonaviculata
52.35	36.47	calonectria_pseudonaviculata
52.86	36.47	calonectria_pseudonaviculata
42.41	42.49	calonectria_pseudonaviculata
42.95	42.38	calonectria_pseudonaviculata
43.04	42.34	calonectria_pseudonaviculata
39.74	43.57	calonectria_pseudonaviculata
13.2	55.71	calonectria_pseudonaviculata
15.02	56.28	calonectria_pseudonaviculata
21.06	55.91	calonectria_pseudonaviculata
16.27	47.15	calonectria_pseudonaviculata
6.58	46.6	calonectria_pseudonaviculata
6.02	47.24	calonectria_pseudonaviculata
-2.34	55.78	calonectria_pseudonaviculata
5.95	52.24	calonectria_pseudonaviculata
0.04	44.58	calonectria_pseudonaviculata
-0.45	50.95	calonectria_pseudonaviculata
0.78	51.21	calonectria_pseudonaviculata
3.78	50.98	calonectria_pseudonaviculata
12.63	56.1	calonectria_pseudonaviculata
-2.78	54.26	calonectria_pseudonaviculata
14.05	50.41	calonectria_pseudonaviculata
10.06	52.57	calonectria_pseudonaviculata
13.37	52.52	calonectria_pseudonaviculata
-4.05	54.84	calonectria_pseudonaviculata
12.02	54.04	calonectria_pseudonaviculata
-1.31	51.06	calonectria_pseudonaviculata
-2.91	54.63	calonectria_pseudonaviculata
7.95	52.63	calonectria_pseudonaviculata
5.04	47.32	calonectria_pseudonaviculata
7.22	53.38	calonectria_pseudonaviculata
-7.57	43.05	calonectria_pseudonaviculata
16.21	59.76	calonectria_pseudonaviculata
-1.39	51.78	calonectria_pseudonaviculata
12.85	55.41	calonectria_pseudonaviculata
12.99	55.6	calonectria_pseudonaviculata
0.15	45.75	calonectria_pseudonaviculata
-2.13	57.15	calonectria_pseudonaviculata
-2.18	51.62	calonectria_pseudonaviculata
-0.25	53.12	calonectria_pseudonaviculata
13.95	45.62	calonectria_pseudonaviculata
-0.64	51.58	calonectria_pseudonaviculata
-1.09	53.54	calonectria_pseudonaviculata
15.55	50.55	calonectria_pseudonaviculata
10.85	59.93	calonectria_pseudonaviculata
16.15	50.34	calonectria_pseudonaviculata
7.49	53.24	calonectria_pseudonaviculata
-2.7	51.96	calonectria_pseudonaviculata
-0.47	51.25	calonectria_pseudonaviculata
12.57	56.19	calonectria_pseudonaviculata
13.06	47.81	calonectria_pseudonaviculata
8.21	53.25	calonectria_pseudonaviculata
10.2	56.16	calonectria_pseudonaviculata
16.43	49.26	calonectria_pseudonaviculata
-8.58	51.95	calonectria_pseudonaviculata
-1.6	53.12	calonectria_pseudonaviculata
-2.24	51.86	calonectria_pseudonaviculata
9.46	51.31	calonectria_pseudonaviculata
9.39	53.71	calonectria_pseudonaviculata
15.85	57.31	calonectria_pseudonaviculata
11.98	54.08	calonectria_pseudonaviculata
8.23	53.01	calonectria_pseudonaviculata
14.32	45.36	calonectria_pseudonaviculata
0.51	47.34	calonectria_pseudonaviculata
9.12	45.72	calonectria_pseudonaviculata
